model_name	rule_name	role	operator_score	selected_count	hit_rate	avg_return	cutoff
ret_60_plus_all_regime_features	top_17_5pct	balance	8.72	8	0.75	0.0682	0.4873
ret_60_plus_all_regime_features	top_15pct	balance	7.7985999999999995	7	0.7143	0.0602	0.4877
sma_gap_60	top_20pct	operator	7.789999999999999	10	0.8	0.0569	0.4788
ret_60_plus_all_regime_features	top_20pct	balance	7.24	8	0.75	0.0534	0.4867
ret_60_plus_all_regime_features	fixed_0.49	balance	7.199999999999999	5	0.8	0.0535	0.49
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_20pct	headline	6.98	10	0.7	0.0508	0.4967
sma_gap_60	top_12_5pct	operator	6.9456	9	0.7778	0.0494	0.4831
ret_60_plus_all_regime_features	threshold	balance	6.9346	11	0.7273	0.0493	0.485
sma_gap_60	top_17_5pct	operator	6.9	10	0.8	0.048	0.4799
sma_gap_60	top_15pct	operator	6.8656	9	0.7778	0.0486	0.481
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_17_5pct	headline	6.82	10	0.7	0.0492	0.497
ret_60_plus_all_regime_features	top_10pct	balance	6.7934	6	0.6667	0.0516	0.4891
ret_60_plus_all_regime_features	top_12_5pct	balance	6.7934	6	0.6667	0.0516	0.4883
sma_gap_60	top_10pct	operator	6.182799999999999	7	0.5714	0.0469	0.4845
ret_60_plus_sma_gap_60_plus_above_200dma_flag	fixed_0.47	headline	5.710800000000001	13	0.6154	0.0383	0.47
ret_60_plus_sma_gap_60_plus_above_200dma_flag	fixed_0.49	headline	5.710800000000001	13	0.6154	0.0383	0.49
ret_60_plus_all_regime_features	fixed_0.47	balance	5.710800000000001	13	0.6154	0.0383	0.47
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_15pct	headline	5.58	8	0.75	0.0368	0.4971
ret_60_plus_sma_gap_60_plus_above_200dma_flag	threshold	headline	4.6966	12	0.5833	0.0293	0.495
sma_gap_60	fixed_0.49	operator	4.6934	6	0.6667	0.0306	0.49
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_12_5pct	headline	4.2585999999999995	7	0.7143	0.0248	0.4974
sma_gap_60	threshold	operator	4.0966	12	0.5833	0.0233	0.471
sma_gap_60	fixed_0.47	operator	4.08	12	0.5	0.0248	0.47
ret_60_plus_sma_gap_60_plus_above_200dma_flag	top_10pct	headline	3.8533999999999997	6	0.6667	0.0222	0.4978
