model_name	rule_name	threshold_or_cutoff	selected_count	predicted_positive_rate	precision	recall	hit_rate	avg_return	max_drawdown_compound	asset_key	role
ret_60_plus_rolling_return_120	threshold	0.348	8	0.9979	0.3904	1.0	0.5	0.0475	-0.2116	meta	headline
ret_60_plus_rolling_return_120	fixed_0.47	0.47	8	0.5833	0.3821	0.5722	0.625	0.0593	-0.1692	meta	headline
ret_60_plus_rolling_return_120	fixed_0.49	0.49	7	0.2604	0.376	0.2513	0.5714	0.0429	-0.2095	meta	headline
ret_60_plus_rolling_return_120	top_10pct	0.5029	7	0.1	0.3125	0.0802	0.5714	0.0055	-0.1896	meta	headline
ret_60_plus_rolling_return_120	top_12_5pct	0.5009	7	0.125	0.35	0.1123	0.5714	0.0055	-0.1896	meta	headline
ret_60_plus_rolling_return_120	top_15pct	0.4993	7	0.15	0.3611	0.139	0.5714	0.0038	-0.1896	meta	headline
ret_60_plus_rolling_return_120	top_17_5pct	0.4966	7	0.175	0.3452	0.1551	0.5714	0.0446	-0.1896	meta	headline
ret_60_plus_rolling_return_120	top_20pct	0.4948	7	0.2	0.3542	0.1818	0.5714	0.0388	-0.2038	meta	headline
ret_60_plus_sma_gap_60	threshold	0.369	8	0.9979	0.3904	1.0	0.5	0.0475	-0.2116	meta	balance
ret_60_plus_sma_gap_60	fixed_0.47	0.47	8	0.7271	0.3811	0.7112	0.625	0.0397	-0.178	meta	balance
ret_60_plus_sma_gap_60	fixed_0.49	0.49	8	0.3521	0.3609	0.3262	0.625	0.047	-0.2105	meta	balance
ret_60_plus_sma_gap_60	top_10pct	0.5024	6	0.1	0.3333	0.0856	0.6667	0.044	-0.1896	meta	balance
ret_60_plus_sma_gap_60	top_12_5pct	0.5009	6	0.125	0.3333	0.107	0.6667	0.044	-0.1896	meta	balance
ret_60_plus_sma_gap_60	top_15pct	0.4994	6	0.15	0.3333	0.1283	0.6667	0.0541	-0.1896	meta	balance
ret_60_plus_sma_gap_60	top_17_5pct	0.4975	6	0.175	0.3333	0.1497	0.6667	0.0541	-0.1896	meta	balance
ret_60_plus_sma_gap_60	top_20pct	0.4963	6	0.2	0.3542	0.1818	0.6667	0.0539	-0.1896	meta	balance
ret_60_plus_sma_gap_60	threshold	0.369	8	0.9979	0.3904	1.0	0.5	0.0475	-0.2116	meta	operator
ret_60_plus_sma_gap_60	fixed_0.47	0.47	8	0.7271	0.3811	0.7112	0.625	0.0397	-0.178	meta	operator
ret_60_plus_sma_gap_60	fixed_0.49	0.49	8	0.3521	0.3609	0.3262	0.625	0.047	-0.2105	meta	operator
ret_60_plus_sma_gap_60	top_10pct	0.5024	6	0.1	0.3333	0.0856	0.6667	0.044	-0.1896	meta	operator
ret_60_plus_sma_gap_60	top_12_5pct	0.5009	6	0.125	0.3333	0.107	0.6667	0.044	-0.1896	meta	operator
ret_60_plus_sma_gap_60	top_15pct	0.4994	6	0.15	0.3333	0.1283	0.6667	0.0541	-0.1896	meta	operator
ret_60_plus_sma_gap_60	top_17_5pct	0.4975	6	0.175	0.3333	0.1497	0.6667	0.0541	-0.1896	meta	operator
ret_60_plus_sma_gap_60	top_20pct	0.4963	6	0.2	0.3542	0.1818	0.6667	0.0539	-0.1896	meta	operator
