variant	tolerance	date	future_return_60	live_probability	live_cutoff	shadow_probability	shadow_cutoff	shadow_gap	above_200dma_flag	slope_60
shadow_tol_0_001	0.001	2020-11-19	0.432	0.4993	0.4992	0.4999	0.5001	-0.000148	1	0.00531
shadow_tol_0_001	0.001	2020-11-20	0.4814	0.4995	0.4992	0.4999	0.5001	-0.000207	1	0.00532
shadow_tol_0_001	0.001	2024-06-21	-0.3641	0.5029	0.4992	0.5	0.5001	-9.4e-05	1	0.002682
shadow_tol_0_001	0.001	2025-09-19	0.4595	0.5047	0.4992	0.4999	0.5001	-0.000158	1	0.004099
shadow_tol_0_001	0.001	2025-09-24	0.537	0.5027	0.4992	0.4999	0.5001	-0.000136	1	0.004526
shadow_tol_0_001	0.001	2025-09-29	0.6856	0.5009	0.4992	0.4999	0.5001	-0.000209	1	0.004881
shadow_tol_0_001	0.001	2025-09-30	0.7134	0.5041	0.4992	0.4999	0.5001	-0.000197	1	0.005551
shadow_tol_0_001	0.001	2025-12-04	0.7682	0.5052	0.4992	0.4999	0.5001	-0.000134	1	0.008029
shadow_tol_0_0025	0.0025	2020-11-19	0.432	0.4993	0.4992	0.4999	0.5001	-0.000148	1	0.00531
shadow_tol_0_0025	0.0025	2020-11-20	0.4814	0.4995	0.4992	0.4999	0.5001	-0.000207	1	0.00532
shadow_tol_0_0025	0.0025	2024-06-21	-0.3641	0.5029	0.4992	0.5	0.5001	-9.4e-05	1	0.002682
shadow_tol_0_0025	0.0025	2025-09-19	0.4595	0.5047	0.4992	0.4999	0.5001	-0.000158	1	0.004099
shadow_tol_0_0025	0.0025	2025-09-24	0.537	0.5027	0.4992	0.4999	0.5001	-0.000136	1	0.004526
shadow_tol_0_0025	0.0025	2025-09-29	0.6856	0.5009	0.4992	0.4999	0.5001	-0.000209	1	0.004881
shadow_tol_0_0025	0.0025	2025-09-30	0.7134	0.5041	0.4992	0.4999	0.5001	-0.000197	1	0.005551
shadow_tol_0_0025	0.0025	2025-12-04	0.7682	0.5052	0.4992	0.4999	0.5001	-0.000134	1	0.008029
shadow_tol_0_005	0.005	2020-11-19	0.432	0.4993	0.4992	0.4999	0.5001	-0.000148	1	0.00531
shadow_tol_0_005	0.005	2020-11-20	0.4814	0.4995	0.4992	0.4999	0.5001	-0.000207	1	0.00532
shadow_tol_0_005	0.005	2024-06-21	-0.3641	0.5029	0.4992	0.5	0.5001	-9.4e-05	1	0.002682
shadow_tol_0_005	0.005	2025-09-19	0.4595	0.5047	0.4992	0.4999	0.5001	-0.000158	1	0.004099
shadow_tol_0_005	0.005	2025-09-24	0.537	0.5027	0.4992	0.4999	0.5001	-0.000136	1	0.004526
shadow_tol_0_005	0.005	2025-09-29	0.6856	0.5009	0.4992	0.4999	0.5001	-0.000209	1	0.004881
shadow_tol_0_005	0.005	2025-09-30	0.7134	0.5041	0.4992	0.4999	0.5001	-0.000197	1	0.005551
shadow_tol_0_005	0.005	2025-12-04	0.7682	0.5052	0.4992	0.4999	0.5001	-0.000134	1	0.008029
