split	direction	top_pct	count	avg_return	hit_rate	cutoff
validation	top	5.0	51	0.21449592752673327	0.6274509803921569	0.1714208168492976
validation	top	10.0	102	0.18372333262855098	0.6176470588235294	0.15233917078287992
validation	top	15.0	153	0.1367498491767046	0.6013071895424836	0.14166585028499187
validation	top	20.0	204	0.13446339005008906	0.6274509803921569	0.13307802022384513
validation	bottom	5.0	51	0.04253167967354908	0.5686274509803921	0.04011686091142361
validation	bottom	10.0	102	0.06303822491551657	0.5784313725490197	0.052668528630370894
validation	bottom	15.0	153	0.0599834016259429	0.6013071895424836	0.061994795153151656
validation	bottom	20.0	204	0.06280050914950344	0.6078431372549019	0.0710845888094973
test	top	5.0	51	0.27070496760509366	0.803921568627451	0.1719924878806676
test	top	10.0	102	0.2720880256441557	0.8137254901960784	0.15939086825276816
test	top	15.0	153	0.22063575707844968	0.7516339869281046	0.1483803733877886
test	top	20.0	204	0.2125363231378185	0.75	0.14017850659933528
test	bottom	5.0	51	0.17345760371080038	0.803921568627451	0.04794182747895772
test	bottom	10.0	102	0.1934472234638819	0.7647058823529411	0.0632391006960738
test	bottom	15.0	153	0.18079034909353303	0.7058823529411765	0.07340991178238394
test	bottom	20.0	204	0.18852247269698005	0.696078431372549	0.08048386245611557
