model_name	date	close	predicted_return	future_return_60	cutoff	selected
distance_only	2026-02-27	607.289978	0.04486	-0.073622	-0.019215	False
distance_only	2026-03-02	608.090027	0.037911	-0.074841	-0.019215	False
distance_only	2026-03-03	601.580017	0.043407	-0.064829	-0.019215	False
distance_only	2026-03-04	610.75	0.027587	-0.07887	-0.019215	False
distance_only	2026-03-05	608.909973	0.025756	-0.076087	-0.019215	False
distance_only	2026-03-06	599.75	0.032998	-0.061976	-0.019215	False
distance_only	2026-03-09	607.76001	0.020269	-0.074339	-0.019215	False
distance_only	2026-03-10	607.77002	0.025919	-0.074354	-0.019215	False
distance_only	2026-03-11	607.690002	0.026627	-0.074232	-0.019215	False
distance_only	2026-03-12	597.26001	0.035281	-0.058065	-0.019215	False
distance_only	2026-03-13	593.719971	0.023217	-0.052449	-0.019215	False
distance_only	2026-03-16	600.380005	0.02378	-0.06296	-0.019215	False
distance_only	2026-03-17	603.309998	0.029871	-0.067511	-0.019215	False
distance_only	2026-03-18	594.900024	0.029656	-0.054328	-0.019215	False
distance_only	2026-03-19	593.02002	0.03637	-0.05133	-0.019215	False
distance_only	2026-03-20	582.059998	0.035308	-0.033467	-0.019215	False
distance_only	2026-03-23	588.0	0.028318	-0.043231	-0.019215	False
distance_only	2026-03-24	583.97998	0.038846	-0.036645	-0.019215	False
distance_only	2026-03-25	587.820007	0.035474	-0.042938	-0.019215	False
distance_only	2026-03-26	573.789978	0.035252	-0.019537	-0.019215	False
distance_plus_atr	2026-02-27	607.289978	0.027774	-0.073622	-0.013639	False
distance_plus_atr	2026-03-02	608.090027	0.026676	-0.074841	-0.013639	False
distance_plus_atr	2026-03-03	601.580017	0.023477	-0.064829	-0.013639	False
distance_plus_atr	2026-03-04	610.75	0.013194	-0.07887	-0.013639	False
distance_plus_atr	2026-03-05	608.909973	0.012357	-0.076087	-0.013639	False
distance_plus_atr	2026-03-06	599.75	0.021372	-0.061976	-0.013639	False
distance_plus_atr	2026-03-09	607.76001	0.011982	-0.074339	-0.013639	False
distance_plus_atr	2026-03-10	607.77002	0.018428	-0.074354	-0.013639	False
distance_plus_atr	2026-03-11	607.690002	0.01603	-0.074232	-0.013639	False
distance_plus_atr	2026-03-12	597.26001	0.024149	-0.058065	-0.013639	False
distance_plus_atr	2026-03-13	593.719971	0.02213	-0.052449	-0.013639	False
distance_plus_atr	2026-03-16	600.380005	0.019145	-0.06296	-0.013639	False
distance_plus_atr	2026-03-17	603.309998	0.024245	-0.067511	-0.013639	False
distance_plus_atr	2026-03-18	594.900024	0.027183	-0.054328	-0.013639	False
distance_plus_atr	2026-03-19	593.02002	0.029465	-0.05133	-0.013639	False
distance_plus_atr	2026-03-20	582.059998	0.029273	-0.033467	-0.013639	False
distance_plus_atr	2026-03-23	588.0	0.018263	-0.043231	-0.013639	False
distance_plus_atr	2026-03-24	583.97998	0.034564	-0.036645	-0.013639	False
distance_plus_atr	2026-03-25	587.820007	0.028072	-0.042938	-0.013639	False
distance_plus_atr	2026-03-26	573.789978	0.033504	-0.019537	-0.013639	False
