name	bucket_pct	validation_bottom_avg_return	validation_bottom_hit_rate	test_bottom_avg_return	test_bottom_hit_rate	test_avg_return	test_excess_return	min_walkforward_test_bucket_avg_return	mean_walkforward_test_bucket_avg_return	min_walkforward_excess_return	mean_walkforward_excess_return
distance_to_252_high	5.0	0.23235176236984464	0.96	0.0822097175299819	0.82	0.026511534764374133	0.05569818276560776	0.05212533304669419	0.11488976812462291	0.02561379828232006	0.07286240657178308
distance_plus_atr_pct_20	5.0	0.18842091319819715	0.84	0.12083257072723487	0.88	0.026511534764374133	0.09432103596286073	0.039536595445691866	0.10697387509314309	0.013025060681317733	0.06494651354030326
distance_to_252_high	7.5	0.18218465654111143	0.918918918918919	0.02691040858935627	0.6707317073170732	0.026511534764374133	0.00039887382498213567	0.02691040858935627	0.09303523022960229	0.00039887382498213567	0.05100786867676246
distance_to_252_high	10.0	0.1638567617408503	0.9090909090909091	0.022686584986322478	0.6272727272727273	0.026511534764374133	-0.0038249497780516555	0.022686584986322478	0.0823471781489484	-0.0038249497780516555	0.04031981659610858
distance_plus_atr_pct_20	10.0	0.14514167152338014	0.8585858585858586	0.01530507571262679	0.5727272727272728	0.026511534764374133	-0.011206459051747343	0.01530507571262679	0.07836334297589508	-0.011206459051747343	0.036335981423055254
distance_to_252_high	12.5	0.13326084633296142	0.8455284552845529	0.012177642057831436	0.6058394160583942	0.026511534764374133	-0.014333892706542697	0.012177642057831436	0.0721769623266842	-0.014333892706542697	0.03014960077384439
distance_plus_atr_pct_20	7.5	0.15599360352008246	0.8378378378378378	0.011489719001873101	0.5365853658536586	0.026511534764374133	-0.015021815762501032	0.011489719001873101	0.08528133987793124	-0.015021815762501032	0.043253978325091404
distance_to_252_high	15.0	0.1147494064938956	0.8175675675675675	0.008321462395192662	0.6036585365853658	0.026511534764374133	-0.01819007236918147	0.008321462395192662	0.0666170678195487	-0.01819007236918147	0.02458970626670888
distance_to_252_high	20.0	0.08900954377463721	0.7614213197969543	0.005148726286955106	0.589041095890411	0.026511534764374133	-0.02136280847741903	0.005148726286955106	0.05761365966571777	-0.02136280847741903	0.015586298112877942
distance_plus_atr_pct_20	12.5	0.12167370272351614	0.8211382113821138	0.004344222948121835	0.5401459854014599	0.026511534764374133	-0.022167311816252297	0.004344222948121835	0.06909244844134624	-0.022167311816252297	0.027065086888506413
distance_plus_atr_pct_20	15.0	0.10579135866965839	0.7972972972972973	0.002706393768161134	0.5304878048780488	0.026511534764374133	-0.023805140996213	0.002706393768161134	0.06571328330702096	-0.023805140996213	0.023685921754181143
distance_plus_atr_pct_20	20.0	0.10023387252698839	0.8071065989847716	-0.0057529507475806525	0.5159817351598174	0.026511534764374133	-0.03226448551195479	-0.0057529507475806525	0.05847453435037029	-0.03226448551195479	0.016447172797530468
