model_name	date	predicted_return	future_return_60	selected	cutoff
atr_pct_20	2026-02-27	-0.006079	-0.057036	False	-0.010396
atr_pct_20	2026-03-02	0.004183	-0.044303	False	-0.010396
atr_pct_20	2026-03-03	0.006621	-0.04238	False	-0.010396
atr_pct_20	2026-03-04	0.005389	-0.039372	False	-0.010396
atr_pct_20	2026-03-05	0.006588	-0.035477	False	-0.010396
atr_pct_20	2026-03-06	0.011305	-0.031879	False	-0.010396
atr_pct_20	2026-03-09	0.010189	-0.040233	False	-0.010396
atr_pct_20	2026-03-10	0.012199	-0.029905	False	-0.010396
atr_pct_20	2026-03-11	0.014135	-0.017214	False	-0.010396
atr_pct_20	2026-03-12	0.012479	-0.015293	False	-0.010396
atr_pct_20	2026-03-13	0.013571	-0.0104	False	-0.010396
atr_pct_20	2026-03-16	0.009762	-0.018003	False	-0.010396
atr_pct_20	2026-03-17	0.011006	-0.020698	False	-0.010396
atr_pct_20	2026-03-18	0.009767	-0.015179	False	-0.010396
atr_pct_20	2026-03-19	0.008607	-0.021145	False	-0.010396
atr_pct_20	2026-03-20	0.012855	-0.002214	False	-0.010396
atr_pct_20	2026-03-23	0.010722	-0.008682	False	-0.010396
atr_pct_20	2026-03-24	0.008957	-0.004302	False	-0.010396
atr_pct_20	2026-03-25	0.005191	-0.013818	False	-0.010396
atr_pct_20	2026-03-26	0.008757	-0.005458	False	-0.010396
ret_60_plus_sma_gap_60	2026-02-27	-0.004144	-0.057036	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-02	0.004373	-0.044303	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-03	0.005729	-0.04238	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-04	0.005596	-0.039372	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-05	0.00614	-0.035477	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-06	0.009115	-0.031879	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-09	0.00739	-0.040233	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-10	0.011024	-0.029905	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-11	0.012005	-0.017214	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-12	0.009826	-0.015293	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-13	0.010362	-0.0104	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-16	0.007558	-0.018003	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-17	0.007806	-0.020698	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-18	0.006557	-0.015179	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-19	0.005149	-0.021145	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-20	0.008201	-0.002214	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-23	0.006155	-0.008682	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-24	0.004891	-0.004302	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-25	0.001933	-0.013818	False	-0.007024
ret_60_plus_sma_gap_60	2026-03-26	0.004715	-0.005458	False	-0.007024
